OrganizationID,County,State,ZipCode
Organization 325,Jefferson County,KY,40202
Organization 326,Jefferson County,KY,40208
Organization 327,Jefferson County,KY,40212
Organization 328,Jefferson County,KY,40222
Organization 329,Jefferson County,KY,40216
Organization 330,Jefferson County,KY,40219
Organization 331,Jefferson County,KY,40211
Organization 332,Jefferson County,KY,
Organization 333,Jefferson County,KY,40204
Organization 334,Jefferson County,KY,40207
Organization 335,Jefferson County,KY,40299
Organization 336,Jefferson County,KY,40202
Organization 337,Jefferson County,KY,40208
Organization 338,Jefferson County,KY,40206
Organization 339,Jefferson County,KY,
Organization 340,Jefferson County,KY,40211
Organization 341,Jefferson County,KY,40202
Organization 342,Jefferson County,KY,40205
Organization 343,Jefferson County,KY,40202
Organization 344,Jefferson County,KY,40202
Organization 345,Jefferson County,KY,
Organization 346,Oldham County,KY,40031
Organization 347,Jefferson County,KY,40291
Organization 348,Jefferson County,KY,40211
Organization 349,Jefferson County,KY,40211
Organization 350,Jefferson County,KY,40208
Organization 351,Jefferson County,KY,40217
Organization 352,Jefferson County,KY,40211
Organization 353,Jefferson County,KY,40211
Organization 354,Jefferson County,KY,40218
Organization 355,Jefferson County,KY,40211
Organization 356,Jefferson County,KY,40213
Organization 357,Jefferson County,KY,40211
Organization 358,Jefferson County,KY,40211
Organization 359,Jefferson County,KY,40202
Organization 360,Oldham County,KY,40010
Organization 361,Jefferson County,KY,40211
Organization 362,Jefferson County,KY,40217
Organization 363,Jefferson County,KY,40217
Organization 364,Jefferson County,KY,40218
Organization 365,Jefferson County,KY,40214
Organization 366,Jefferson County,KY,40059
Organization 367,Jefferson County,KY,40211
Organization 368,Jefferson County,KY,40211
Organization 369,Bullitt County,KY,40165
Organization 370,Jefferson County,KY,40212
Organization 371,Jefferson County,KY,40211
Organization 372,Jefferson County,KY,
Organization 373,Jefferson County,KY,40216
Organization 451,Jefferson County,KY,
Organization 452,Jefferson County,KY,
Organization 453,Jefferson County,KY,
Organization 454,Jefferson County,KY,
Organization 455,Jefferson County,KY,
Organization 456,Jefferson County,KY,
Organization 457,Jefferson County,KY,
Organization 458,Jefferson County,KY,
Organization 459,Jefferson County,KY,
Organization 460,Jefferson County,KY,
Organization 461,Jefferson County,KY,
Organization 462,Jefferson County,KY,
Organization 463,Jefferson County,KY,
Organization 464,Jefferson County,KY,
Organization 465,Jefferson County,KY,
Organization 466,Jefferson County,KY,
Organization 467,Jefferson County,KY,
Organization 374,Floyd County,IN,47150
Organization 375,Harrison County,IN,
Organization 376,Harrison County,IN,47112
Organization 377,Harrison County,IN,47112
Organization 378,Clark County,IN,
Organization 379,Floyd County,IN,
Organization 380,Harrison County,IN,
Organization 381,Clark County,IN,47130
Organization 382,Clark County,IN,47130
Organization 383,Clark County,IN,47111
Organization 384,Floyd County,IN,47150
Organization 385,Harrison County,IN,47112
Organization 386,Clark County,IN,47130
Organization 387,Clark County,IN,47129
Organization 388,Floyd County,IN,47150
Organization 389,Clark County,IN,47130
Organization 390,Clark County,IN,47130
Organization 391,Floyd County,IN,47150
Organization 392,Clark County,IN,47130
Organization 393,Clark County,IN,47130
Organization 394,Clark County,IN,47130
Organization 395,Floyd County,IN,47150
